"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"
82349	Artiodactyla	Suidae	Suinae	Potamochoerus	afarensis	Potamochoerus afarensis	168304	NA	NA	Potamochoerus afarensis	2	2	0.07	3.74	3.67	0.05606055	0.04400753175	0.236771091985487	3.1	-3.4	35.9	35.2	0.0350000000000001
22239	Eulipotyphla	Talpidae		Galemys	kormosi	Galemys kormosi	NA	NA	NA	Galemys kormosi	15	4	3.21	4.28	1.07	3.20148864	2.5131685824	1.78927042114936	52	40.4	18.9	-3.5	0.63
20937	Artiodactyla	Bovidae	Boselaphini	Tragoportax	validus	Tragoportax validus	100000	mes	L2220	Tragoportax validus	1	1	0	7.35	7.35	0	0	0	46.5	46.5	29	29	0
23326	Carnivora	Amphicyonidae		Haplocyonoides	mordax	Haplocyonoides mordax	12098	NA	NA	Haplocyonoides mordax	8	2	2.25	20.6	18.35	0.3191139	0.2505044115	0.564901672859977	47.5	40.1	0.8	-2.7	0.633749999999999
20402	Eulipotyphla	Soricidae	Crocidosoricinae	Miosorex	grivensis	Miosorex grivensis	NA	NA	NA	Miosorex grivensis	69	4	7.64	16.8	9.16	2.75017041	2.15888377185	1.65836377492998	49	38.9	13	-9.1	4.288
82072	Carnivora	Canidae	Caninae	Canis	ferox	Canis ferox	NA			Canis ferox	8	2	3.46	7.23	3.77	8.7134112	6.840027792	2.95184877661441	47	21	-95.7	-122.9	0.655
25032	Proboscidea	Elephantidae		Mammuthus	primigenius	Mammuthus primigenius	4357667	hyp	LMM0M	Mammuthus primigenius	173	20	4.28	4.28	0	88.01814375	69.09424284375	9.38179853492922	75.3	37.2	179.7	-7.8	0.485
23221	Rodentia	Muridae	Arvicolinae	Clethrionomys	sokolovi	Clethrionomys sokolovi	NA	NA	NA	Clethrionomys sokolovi	6	1	0.9	2.13	1.23	0.4879116	0.383010606	0.698506692881321	49	45.4	36.7	25.7	0.45
24440	Eulipotyphla	Soricidae	Crocidosoricinae	Miosorex	pusilliformis	Miosorex pusilliformis	NA	NA	NA	Miosorex pusilliformis	6	3	1.55	18.35	16.8	0.8710947	0.6838093395	0.933324541625259	50.5	43.5	13.7	3.6	1.55
21460	Primates	Hominidae	Hominini	Australopithecus	afarensis	Australopithecus afarensis	37000	bra	R2200	Australopithecus afarensis	14	4	1.68	4.47	2.79	5.92985088	4.6549329408	2.43512851406245	11.5	-26.1	40.6	27.8	0.83
20223	Perissodactyla	Rhinocerotidae		Prosantorhinus	germanicus	Prosantorhinus germanicus	703798	mes	L2212	Prosantorhinus germanicus	9	2	3.28	16.8	13.52	0.81466452	0.6395116482	0.902587679951372	49.2	43.5	11.8	0.2	1.78
24914	Eulipotyphla	Talpidae		Talpa	europaea	Talpa europaea	93	NA	NA	Talpa europaea	38	12	3.01	3.02	0.01	12.64726008	9.9280991628	3.55629864887639	59	42.2	57.4	-3.7	0.03
