"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"	"sp_pal_area_sq"
24548	Artiodactyla	Cainotheriidae		Microtherium	renggeri	Microtherium renggeri	NA	NA	S2300	Microtherium renggeri	1	1	0	13.52	13.52	0	0	0	47.383	47.383	8.05	8.05	0	0
27190	Artiodactyla	Bachitheriidae		Bachitherium	insigne	Bachitherium insigne	36000	bra	NA	Bachitherium insigne	10	3	4.99	29.97	24.98	0.360167472	0.28273146552	0.600139543772946	47.283	43.2261111111111	8.367	1.167	2.6225	0.3758139099
25034	Perissodactyla	Rhinocerotidae		Coelodonta	antiquitatis	Coelodonta antiquitatis	1837313	hyp	L2222	Coelodonta antiquitatis	220	18	2.15	2.15	0	86.85541098	68.1814976193	9.31962504503266	71.25	33.25	179.66	-5.85	0.054	86.85541098
25173	Artiodactyla	Bovidae	Bovinae	Bos	primigenius	Bos primigenius	1059726	hyp	L2220	Bos primigenius	154	28	1.59	1.59	0	59.5632057714	46.757116530549	7.71772024443747	60.69	24.4698032	129.771177	-3.69745805372091	0.12	59.5632057714
29944	Artiodactyla	Bovidae	Antilopini	Gazella	prjewalskyi	Gazella prjewalskyi	NA	NA	L2220	Gazella prjewalskyi	22	1	0.26	0.27	0.01	3.852456354	3.02417823789	1.96276752418619	45.6166666666667	32.9167	126.316666666667	101.7	0.01	3.852456354
21244	Rodentia	Muridae	Murinae	Stephanomys	donnezani	Stephanomys donnezani	NA	NA	NA	Stephanomys donnezani	14	2	2.13	5.15	3.02	0.9146679165	0.7180143144525	0.956382724906718	43.83459	36.7879316	4.3608637	-6.1724551	1.1	0.9137426094
21245	Rodentia	Muridae	Murinae	Castillomys	crusafonti	Castillomys crusafonti	NA	NA	NA	Castillomys crusafonti	41	2	5.24	6.2	0.96	0.9888883884	0.776277384894	0.994428674365336	44.2137356	36.733	4.5596726	-6.1724551	2.89	1.0726329933
22325	Lagomorpha	Ochotonidae		Prolagus	ibericus	Prolagus ibericus	NA	NA	NA	Prolagus ibericus	3	1	0.87	5.15	4.28	0.0964068966	0.075679413831	0.310494599953043	41.05	37.2732911	-1.544182	-3.6181997	0.435	0.1084383531
24665	Rodentia	Muridae	Cricetinae	Apocricetus	angustidens	Apocricetus angustidens	NA	NA	NA	Apocricetus angustidens	4	2	1.19	5.15	3.96	0.2148609906	0.168665877621	0.463531002846627	43.1166666666667	39.2099913	2.917	-1.544182	0.4575	0.2019177801
21623	Proboscidea	Deinotheriidae		Deinotherium	giganteum	Deinotherium giganteum	11240000	bra	L2202	Deinotherium giganteum	106	18	12.84	16.8	3.96	28.3933058724	22.288745109834	5.32853693544485	49.846	1.711325	46.5333333333333	-1.35	5.7575	29.395823751
20577	Rodentia	Muridae	Copemyinae	Democricetodon	brevis	Democricetodon brevis	24	NA	NA	Democricetodon brevis	54	9	6.25	16.8	10.55	3.6825054084	2.890766745594	1.91898551542215	51.25	39.9768	28.3071	1.788	1.875	3.5677279008
20673	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	minor	Megacricetodon minor	11	NA	NA	Megacricetodon minor	133	11	6.75	16.8	10.05	6.0835528908	4.775589019278	2.46648593971261	51.25	37.311	30.179	-5.240637	1.6025	6.0646598694
