"SIDNUM"	"ORDER"	"FAMILY"	"SUBFAMILY"	"GENUS"	"SPECIES"	"genusspecies"	"BODYMASS"	"TCRWNHT"	"CROWNTYP"	"sp_now"	"no_loc"	"no_countries"	"sp_duration"	"max_mid_age"	"min_mid_age"	"sp_area_square"	"sp_area_el"	"sp_range_width"	"max_lat"	"min_lat"	"max_long"	"min_long"	"duration_peak"	"sp_pal_area_sq"
24665	Rodentia	Muridae	Cricetinae	Apocricetus	angustidens	Apocricetus	NA	NA	NA	Apocricetus	57	4	3.39	7.35	3.96	3.649122891	2.864561469435	1.91026775374553	47.333	31.033	11.6	-6.567	2.24	3.5747065152
21623	Proboscidea	Deinotheriidae		Deinotherium	giganteum	Deinotherium	11240000	bra	L2202	Deinotherium	247	29	18.28	19.24	0.96	59.33584143	46.57863552255	7.7029761410769	50.817	-4.033	70.9902777777778	-16.8111111111111	6.6525	56.3063625747
20577	Rodentia	Muridae	Copemyinae	Democricetodon	brevis	Democricetodon	24	NA	NA	Democricetodon	724	23	13.6	22.35	8.75	82.0773542862	64.430723114667	9.05965530725093	53.1582851283707	0.8999531	118.333333333333	-9.133	7.064	91.9495136448
20673	Rodentia	Muridae	Megacricetodontinae	Megacricetodon	minor	Megacricetodon	11	NA	NA	Megacricetodon	655	19	16.98	23.03	6.05	39.0283630695	30.6372650095575	6.24726844865018	51.25	26.401	118.333333333333	-9.133	9.38615384615385	44.7438396384
20844	Rodentia	Sciuridae		Spermophilinus	bredai	Spermophilinus	116	NA	NA	Spermophilinus	339	18	20.36	20.6	0.24	32.2780358538	25.338258145233	5.68137622885512	53.1582851283707	33.25	122.5	-9.083	10.4775	38.3363393193
21047	Rodentia	Muridae	Eumyarioninae	Eumyarion	leemanni	Eumyarion	NA	NA	NA	Eumyarion	280	15	12.95	22.35	9.4	22.788946242	17.88932279997	4.77377693676611	51.25	35.2	113.5478	-1.6968	4.09166666666667	21.2180630976
23690	Rodentia	Sciuridae		Heteroxerus	rubricati	Heteroxerus	NA	NA	NA	Heteroxerus	439	6	24.2	30.4	6.2	3.9208465287	3.0778645250295	1.98011275656211	50.9	37.133	13.667	-9.4454539	9.604	3.2788953225
24555	Rodentia	Sciuridae	Pteromyini	Miopetaurista	neogrivensis	Miopetaurista	NA	NA	NA	Miopetaurista	97	16	18.39	20.6	2.21	62.0699970042	48.724947648297	7.87845143440004	51.1167	25.3	112.7408	-82.36667	7.9175	53.8930076454
24593	Rodentia	Gliridae	Glirinae	Muscardinus	thaleri	Muscardinus	NA	NA	NA	Muscardinus	273	18	17.65	17.77	0.12	7.679950362	6.02876103417	2.77127233631053	51.35	37.07	40.0285148620605	-3.61930847167969	5.242	8.5883567463
34287	Rodentia	Muridae	Cricetodontinae	Hispanomys	decedens	Hispanomys	96	NA	NA	Hispanomys	163	4	7.29	13.49	6.2	2.1144277557	1.6598257882245	1.45410720227224	47.4075	37.133	7.62861111111111	-9.083	3.775	1.8627553134
20603	Rodentia	Gliridae		Glirudinus	undosus	Glirudinus	NA	NA	NA	Glirudinus	228	12	20.65	30.4	9.75	7.2804973815	5.7151904444775	2.69823968199639	51.25	37.458	33.4055555555556	-9.4454539	10.34	7.0226274762
20612	Rodentia	Gliridae		Microdyromys	complicatus	Microdyromys	19	NA	NA	Microdyromys	510	22	28.3	34.5	6.2	36.4581778275	28.6196695945875	6.03806076712549	51.25	28	118.2	-9.067	6.655	37.7847417024
85237	Rodentia	Gliridae	NA	Bransatoglis	astaracensis	Bransatoglis	NA	NA	NA	Bransatoglis	152	13	27.02	36.77	9.75	7.2159328773	5.6645073086805	2.6862488487294	51.25	37.458	33.4055555555556	-9.067	7.014	7.0401836691
20460	Rodentia	Eomyidae		Eomyops	oppligeri	Eomyops	NA	NA	NA	Eomyops	96	14	12.52	16.8	4.28	6.9114341475	5.4254758057875	2.62896065917693	51.25	35.2	33.487	-1.46666666666667	7.814	6.911181567
20481	Rodentia	Muridae	Anomalomyinae	Anomalomys	gaudryi	Anomalomys	35	NA	NA	Anomalomys	127	14	11.65	16.8	5.15	5.4848360736	4.305596317776	2.34197268848294	51.25	37.331	33.409	1.4278	8.194	5.6357560026
20607	Rodentia	Gliridae		Myoglis	meini	Myoglis	92	NA	NA	Myoglis	95	14	11.44	20.6	9.16	6.6964635	5.2567238475	2.5877525963662	51.25	38.74813	34.312	-9.165414	6.8525	6.9219944766
23689	Rodentia	Eomyidae		Keramidomys	carpathicus	Keramidomys	3	NA	NA	Keramidomys	162	16	12.84	16.8	3.96	24.0434162496	18.874081755936	4.90340863579612	53.1582851283707	36.2	113.5478	-1.5106093	8.9625	31.194517257
23700	Rodentia	Sciuridae	Pteromyini	Albanensia	quiricensis	Albanensia	NA	NA	NA	Albanensia	58	11	9.45	16.8	7.35	30.1195605231	23.6438550106335	5.48812905488747	48.9911	25.3	102.4	-0.794444444444444	3.53	22.8006105327
24079	Rodentia	Sciuridae	Pteromyini	Hylopetes	hoeckarum	Hylopetes	NA	NA	NA	Hylopetes	50	15	22.3	22.35	0.05	60.5119954653	47.5019164402605	7.77894565254829	51.35	9.241	118.415277777778	1.7889	5.282	59.247450576
84409	Rodentia	Sciuridae	Sciurinae	Tamias	sp.	Tamias	NA	NA	NA	Tamias	60	13	18.1	18.11	0.01	97.9789021875	76.9134382171875	9.8984292788048	54.5	23.2544444444444	133	-121.468926	8.766	114.3925687575
20610	Rodentia	Gliridae		Paraglirulus	werenfelsi	Paraglirulus	32	NA	NA	Paraglirulus	75	13	7.64	16.8	9.16	5.6537311095	4.4381789209575	2.37775758005311	51.25	35.2	27.12	-1.46666666666667	2.77	5.0271306372
20628	Rodentia	Gliridae		Myomimus	dehmi	Myomimus	NA	NA	NA	Myomimus	127	11	17.95	18.35	0.4	31.891380696	25.03473384636	5.64724540780724	48.1	26.401	114.4931	-4.783	9.2375	38.4373641267
85720	Primates	incertae sedis		Pliobates	cataloniae	Pliobates	NA	NA	NA	Pliobates	1	1	0	11.62	11.62	0	0	0	41.525788763197	41.525788763197	1.80292358935473	1.80292358935473	0	0
84412	Rodentia	Gliridae	NA	Eliomys	sp.	Eliomys	NA	NA	NA	Eliomys	173	13	16.04	16.08	0.04	8.929965096	7.01002260036	2.98830471940196	51.967	33.5666666666667	31.839	-7.55194444444445	0.526666666666667	9.1378721142
84413	Rodentia	Sciuridae	Pteromyini	Forsythia	sp.	Forsythia	NA	NA	NA	Forsythia	20	11	11	18.35	7.35	32.5708900065	25.5681486551025	5.70709120362554	51.25	25.3	102.4	0.533	3.1625	25.6864450095
85745	Carnivora	Mustelidae	Eomellivorini	Eomellivora	moralesi	Eomellivora	NA	NA	NA	Eomellivora	26	13	6.95	12.73	5.78	139.5968388246	109.583518477311	11.81511061415	49.775	0.758888888888889	112.2	-118.926667	2.42	138.9009364236
82232	Primates	Hominidae	Dryopithecini	Anoiapithecus	brevirostris	Anoiapithecus	NA	bra	NA	Anoiapithecus	3	1	0.39	12.37	11.98	0	0	0	41.5341644	41.5341644	1.7659521	1.7659521	0.129999999999999	0
20249	Primates	Hominidae	Dryopithecini	Dryopithecus	fontani	Dryopithecus	35000	bra	R2200	Dryopithecus	17	5	6.38	12.16	5.78	32.1804535338	25.261656024033	5.67278181616392	48.6	23.5833333333333	104.833333333333	0.44	4.3475	23.7776227092
84426	Carnivora	Ursidae	Ailuropodinae	Kretzoiarctos	beatrix	Kretzoiarctos	NA	NA	NA	Kretzoiarctos	3	2	0.23	11.85	11.62	1.0018377594	0.786442641129	1.00091845791753	47.923	41.1167	10.588	-1.35	0.19	0.9376576704
21827	Carnivora	Ursidae		Ursus	indet.	Ursus	NA	NA	NA	Ursus	596	42	5.15	5.15	0	231.2621082315	181.540754961727	15.2073044367337	80.166667	13.8147222222222	160	-122.893056	2.1425	226.2921901578
22265	Carnivora	Canidae	Caninae	Vulpes	vulpes	Vulpes	8000	NA	NA	Vulpes	435	42	11.09	11.1	0.01	311.8679630235	244.816350973447	17.6597837762386	64	-34.15	135	-122.893056	0.791666666666667	309.8731044123
22701	Artiodactyla	Cervidae	Cervinae	Cervus	elaphus	Cervus	210223	mes	L2220	Cervus	741	46	8.94	8.94	0	254.8658249541	200.069672588969	15.9645176862347	67.9	-8.1333	160	-112.073844	0.605	253.769809167
25060	Carnivora	Canidae	Caninae	Canis	lupus	Canis	29000	bra	NA	Canis	596	50	11.1	11.1	0	362.6998490214	284.719381481799	19.0446803339253	70.43	-33.63131	160	-122.893056	1.58	359.2894011498
25194	Artiodactyla	Suidae	Suinae	Sus	scrofa	Sus	124715	bra	R2200	Sus	521	44	5.14	5.15	0.01	117.5655995838	92.288995673283	10.8427671552884	59.5	-8.5306	133.1	-7.16013689495386	0.0525	117.5655995838
25240	Primates	Hominidae	Hominini	Homo	neanderthalensis	Homo	NA	bra	R2200	Homo	230	35	3.74	3.75	0.01	155.108354382	121.76005818987	12.4542504544433	56.1333333333333	-33.0833333333333	133.1	-8	0.323333333333333	156.012370794
25245	Artiodactyla	Bovidae		Rupicapra	rupicapra	Rupicapra	37000	hyp	L2220	Rupicapra	42	13	0.95	0.96	0.01	5.829360804	4.57604823114	2.4144069259344	50.433	41.5307542	46	-7.16013689495386	0.055	5.829360804
25315	Carnivora	Felidae	Felinae	Panthera	pardus	Panthera	53750	NA	NA	Panthera	463	46	6.2	6.2	0	309.7994433138	243.192563001333	17.6011205130185	70.43	-33.63131	160	-81.631667	0.25	309.1070967534
25488	Perissodactyla	Rhinocerotidae		Stephanorhinus	hemitoechus	Stephanorhinus	1519249	mes	L2212	Stephanorhinus	317	33	15.29	15.3	0.01	41.5045008864	32.581033195824	6.4423986904258	55.483	30.747737	129	-7.16013689495386	0.1	41.5045008864
25689	Artiodactyla	Bovidae		Capra	pyrenaica	Capra	NA	hyp	L2220	Capra	123	27	3.01	3.02	0.01	52.8971652846	41.524274748411	7.27304374279435	57.1	26.0333333333333	133	-5.18333333333333	0.24	52.8780246111
24632	Rodentia	Gliridae		Vasseuromys	bacchius	Vasseuromys	NA	NA	NA	Vasseuromys	67	10	16.43	23.78	7.35	13.452535998	10.56024075843	3.6677698943636	48.9797	37.331	88.4819444444444	-5.240637	8.934	17.2405892529
25328	Carnivora	Mustelidae		Meles	meles	Meles	13000	NA	NA	Meles	191	30	6.38	6.39	0.01	106.216802874	83.38019025609	10.306153641102	59.5	22.4544444444444	133.1	-99.579444	0.961428571428571	104.144324427
25451	Carnivora	Mustelidae		Mustela	sibiricus	Mustela	NA	NA	NA	Mustela	230	26	16.79	16.8	0.01	174.8922272055	137.290398356318	13.2246824992323	59.28	3.83222222222222	133.1	-122.893056	0.942	172.1256982038
29867	Lagomorpha	Leporidae		Lepus	wongi	Lepus	NA	NA	NA	Lepus	214	31	9.4	9.4	0	302.2673215419	237.279847410392	17.3858368087907	67.9	-33.63131	160	-81.631667	0.852857142857143	301.5918079317
29942	Artiodactyla	Cervidae		Capreolus	manchuricus	Capreolus	NA	bra	L2220	Capreolus	235	28	4.86	4.87	0.01	55.991848104	43.95360076164	7.48277008226232	65.07	32.6667	133.1	-7.16013689495386	0.336	58.0310573868
85929	Rodentia	Muridae	Myospalacinae	Myospalax	prosilurus	Myospalax	NA	NA	NA	Myospalax	59	2	2.19	2.2	0.01	9.0847513548	7.131529813518	3.01409212778906	52	24.61	127.55	100.6333	0.304	9.1411371792
84895	Pilosa	Nothrotheriidae	NA	Mcdonaldocnus	bondesioi	Mcdonaldocnus	NA	NA	NA	Mcdonaldocnus	4	2	7.75	17	9.25	2.542598523	1.995939840555	1.59455276582495	-17.3	-51.1281	-63.0259	-69.1233	4.0425	2.2413106458
84904	Rodentia	Dinomyidae	NA	Tetrastylus	indet.	Tetrastylus	NA	NA	NA	Tetrastylus	4	3	3.67	9.92	6.25	3.5159415057	2.7600140819745	1.87508439962045	-9.1375	-38.64562	-63.0259	-72.6951	2.375	2.941490898
84928	Cingulata	Pampatheriidae	NA	Kraglievichia	indet.	Kraglievichia	NA	NA	NA	Kraglievichia	3	3	1.92	9.92	8	3.5159415057	2.7600140819745	1.87508439962045	-9.1375	-38.64562	-63.0259	-72.6951	0.625	2.941490898
84982	Rodentia	Caviidae	Dolichotiinae	Prodolichotis	prisca	Prodolichotis	NA	NA	NA	Prodolichotis	5	4	7.3	12.8	5.5	6.978836178	5.47838639973	2.64174869698085	3.3	-38.9669444444445	-61.6952777777778	-75.1	3.5	4.9971092886
85441	Sparassodonta	Hathliacynidae		Borhyaenidium	altiplanicus	Borhyaenidium	NA	NA	NA	Borhyaenidium	3	2	6.22	9.92	3.7	1.27497708	1.0008570078	1.12914882987142	-17.3	-37.2	-63.8	-69	4.01	0.8555936499
85943	Notoungulata	Toxodontidae		Hoffstetterius	imperator	Hoffstetterius	NA	NA	NA	Hoffstetterius	1	1	0	9.92	9.92	0	0	0	-17.3	-17.3	-69	-69	0	0
85944	Notoungulata	Mesotheriidae	Mesotheriinae	Plesiotypotherium	achirense	Plesiotypotherium	NA	NA	NA	Plesiotypotherium	3	1	2.83	12.75	9.92	0.205107687	0.161009534295	0.452888161691162	-17.3	-21.95	-65.4166666666667	-69	0.943333333333333	0.297995706
85946	Notoungulata	Hegetotheriidae	Hegetotheriinae	Hemihegetotherium	sp.	Hemihegetotherium	NA	NA	NA	Hemihegetotherium	4	2	6.5	12.75	6.25	1.5704284995	1.2327863721075	1.25316738686418	-17.3	-38.64562	-63.0259	-69	3.335	1.14696189
85947	Cingulata	Glyptodontidae		Trachycalyptoides	achirense	Trachycalyptoides	NA	NA	NA	Trachycalyptoides	2	2	4.42	9.92	5.5	1.949071311	1.530020979135	1.39609144077313	-17.3	-38.9669444444445	-61.6952777777778	-69	2.21	1.4682492144
85948	Cingulata	Dasypodidae		Chorobates	indet.	Chorobates	NA	NA	NA	Chorobates	8	2	6.02	9.92	3.9	3.0517650801	2.3956355878785	1.74693018752897	-17.3	-38.9669444444445	-57.57	-69	3.048	2.5565113962
85949	Pilosa	Mylodontidae		Proscelidodon	sp.	Proscelidodon	NA	NA	NA	Proscelidodon	4	2	6.25	9.92	3.67	3.0517650801	2.3956355878785	1.74693018752897	-17.3	-38.9669444444445	-57.57	-69	3.64	2.5565113962
85951	Rodentia	Caviidae	Hydrochoerinae	Cardiomys	indet.	Cardiomys	NA	NA	NA	Cardiomys	6	2	6.02	9.92	3.9	3.0517650801	2.3956355878785	1.74693018752897	-17.3	-38.9669444444445	-57.57	-69	3.41	2.607690366
85952	Rodentia	Chinchillidae		Lagostomus	indet.	Lagostomus	NA	NA	NA	Lagostomus	7	2	9.45	9.92	0.47	1.949071311	1.530020979135	1.39609144077313	-17.3	-38.9669444444445	-61.6952777777778	-69	7.24	1.497642192
86096	Notoungulata	Toxodontidae		Andinotoxodon	bolivarensis	Andinotoxodon	NA	NA	NA	Andinotoxodon	1	1	0	9.92	9.92	0	0	0	-17.3	-17.3	-69	-69	0	0
21270	Proboscidea	Gomphotheriidae		Gomphotherium	angustidens	Gomphotherium	3629130	bra	RMM00	Gomphotherium	242	33	29.9	30.86	0.96	264.6778935636	207.772146447426	16.2689241673689	54.5	-28.3249	137.080555555556	-122.301111	12.9075	281.8472809896
20025	Carnivora	Herpestidae		Leptoplesictis	aurelianensis	Leptoplesictis	406	NA	NA	Leptoplesictis	18	4	18.42	30.4	11.98	1.092663243	0.857740645755	1.04530533481849	48.6278	41.4160002095191	11.8044	-0.5	2.9425	1.1635360992
20153	Carnivora	Hyaenidae		Thalassictis	montadai	Thalassictis	31000	NA	NA	Thalassictis	51	10	8.7	13.85	5.15	21.2266188	16.662895758	4.60723548345426	50.25	35.5	112.9	-3.9	0.7875	22.9645352772
20331	Eulipotyphla	Dimylidae		Plesiodimylus	chantrei	Plesiodimylus	40	NA	NA	Plesiodimylus	140	13	11.23	19.48	8.25	4.8519703728	3.808796742648	2.20271885922829	51.25	37.331	27.794	-0.5	4.32666666666667	4.5642429882
20340	Eulipotyphla	Erinaceidae	Galericinae	Galerix	exilis	Galerix	105	NA	NA	Galerix	375	21	19.63	22.35	2.72	79.4612018574	62.377043458059	8.9141012927496	50.45	-0.18181	118.25	-9.133	15.29	81.4960224
20398	Eulipotyphla	Heterosoricidae		Dinosorex	zapfei	Dinosorex	NA	NA	NA	Dinosorex	128	15	22.67	26.32	3.65	45.7159308075	35.8870056838875	6.76135569301749	51.25	-3.5	65.667	-2.1	9.2575	41.864983776
20454	Eulipotyphla	Talpidae		Talpa	minuta	Talpa	16	NA	NA	Talpa	304	21	20.59	20.6	0.01	43.753361841	34.346389045185	6.61463240407205	59	30.6542	118.096111111111	-7.16013689495386	1.08166666666667	43.3510503885
20862	Artiodactyla	Moschidae		Micromeryx	flourensianus	Micromeryx	9957	bra	L2220	Micromeryx	119	11	12.4	20.65	8.25	25.195397715	19.778387206275	5.01950173971481	50	33.3	118.25	-4.2	6.1675	20.6935051473
20882	Artiodactyla	Cervidae		Euprox	furcatus	Euprox	44002	bra	L2220	Euprox	85	14	11.41	17.46	6.05	39.2086353168	30.778778723688	6.26167991171698	50.7	23.5833333333333	113.139722222222	-4.2	5.84	35.3563502247
32118	Eulipotyphla	Erinaceidae		Parasorex	socialis	Parasorex	76	NA	NA	Parasorex	203	10	9.24	13.52	4.28	4.609692693	3.618608764005	2.14701949059621	48.9911	36.9577105	22.033	-9.067	4.251	3.516475005
34296	Primates	Hominidae	Dryopithecini	Pierolapithecus	catalaunicus	Pierolapithecus	NA	bra	R2200	Pierolapithecus	1	1	0	11.98	11.98	0	0	0	41.5326758869392	41.5326758869392	1.78894758224487	1.78894758224487	0	0
85491	Artiodactyla	Suidae	Listriodontinae	Listriodon	splendens	Listriodon	165200	bra	L2202	Listriodon	103	18	9.49	19.24	9.75	75.6471894876	59.383043747766	8.69753927772678	51.7	1.183	112.661944444444	-8.867	2.2925	79.5124695384
86089	Primates	Hominidae	Sugrivapithecini	Sivapithecus	occidentalis	Sivapithecus	NA	NA	NA	Sivapithecus	14	4	5.38	12.73	7.35	22.6646815644	17.791775028054	4.76074380369286	41.5341644	23.2544444444444	102.4	1.7659521	2.9175	22.27316454
21014	Artiodactyla	Bovidae		Maremmia	hauptii	Maremmia	50000	hyp	L2220	Maremmia	9	1	0.65	8	7.35	0.09832158	0.0771824403	0.313562720998527	43.6	40.8	11.15	8.3	0	0.0860695776
34933	Cingulata	Glyptodontidae	NA	Asterostemma	indet.	Asterostemma	NA	NA	NA	Asterostemma	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84674	Litopterna	Proterotheriidae	NA	Indet.	indet.	Indet.	NA	NA	NA	Indet.	21	12	63.58	64.25	0.67	165.275298594	129.74110939629	12.855944095787	45.1	-45.72	36.0011111111111	-111.7	19.1316666666667	168.879437514
84746	Pilosa	Megatheriidae	NA	Planops	indet.	Planops	NA	NA	NA	Planops	2	2	9	17	8	1.8469708803	1.4498721410355	1.35903306814073	-9.1375	-51.1281	-69.1233	-72.6951	4.5	1.527606864
84845	Rodentia	Dinomyidae	NA	Scleromys	colombianus	Scleromys	NA	NA	NA	Scleromys	6	4	9	17	8	4.0103795394	3.148147938429	2.00259320367368	3.3	-51.1281	-69.1233	-75.1	6.75	2.2955686335
84921	Didelphimorphia	Didelphidae	Didelphinae	Didelphis	solimoensis	Didelphis	NA	NA	NA	Didelphis	5	4	5.79	8	2.21	21.0700731024	16.540007385384	4.59021492986984	30.23	-38.01	-57.57	-82.63	1.12666666666667	20.5346246202
84924	Cingulata	Dasypodidae	NA	Anadasypus	indet.	Anadasypus	NA	NA	NA	Anadasypus	2	2	4.5	12.5	8	0.367855776	0.28876678416	0.606511150763117	3.3	-9.1375	-72.6951	-75.1	2.25	0.0762066171
84925	Cingulata	Pachyarmatheriidae	NA	Neoglyptatelus	indet.	Neoglyptatelus	NA	NA	NA	Neoglyptatelus	3	3	4.8	12.8	8	0.40511448	0.3180148668	0.636486040695316	3.3	-10.4	-72.6951	-75.1	3.45	0.1763209026
84926	Cingulata	Glyptodontidae	NA	Paraglyptodon	indet.	Paraglyptodon	NA	NA	NA	Paraglyptodon	3	3	4.33	8	3.67	5.3818509951	4.2247530311535	2.31988167696113	-9.1375	-38.01	-57.57	-72.6951	2.28	4.7150335467
84927	Cingulata	Glyptodontidae	NA	Plohophorus	indet.	Plohophorus	NA	NA	NA	Plohophorus	6	3	4.33	8	3.67	5.5608110559	4.3652366788815	2.35813720039781	-9.1375	-38.9669444444445	-57.57	-72.6951	2.51	4.945723326
84929	Pilosa	Megalonychidae	NA	Pliomorphus	indet.	Pliomorphus	NA	NA	NA	Pliomorphus	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84930	Pilosa	Mylodontidae	NA	Octodontobradys	puruensis	Octodontobradys	NA	NA	NA	Octodontobradys	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84931	Pilosa	Mylodontidae	NA	Pseudoprepotherium	venezuelanum	Pseudoprepotherium	NA	NA	NA	Pseudoprepotherium	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84932	Pilosa	Mylodontidae	NA	Ranculcus	indet.	Ranculcus	NA	NA	NA	Ranculcus	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84933	Pilosa	Mylodontidae	NA	Urumacotherium	campbelli	Urumacotherium	NA	NA	NA	Urumacotherium	2	2	4.8	12.8	8	0.0127300572	0.009993094902	0.112827555145009	-9.1375	-10.4	-72.6951	-73.5167	2.4	0.0143083773
84934	Pilosa	Nothrotheriidae	NA	Mionothropus	cartellei	Mionothropus	NA	NA	NA	Mionothropus	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84935	Primates	Atelidae	NA	Solimoea	acrensis	Solimoea	NA	NA	NA	Solimoea	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84936	Primates	Atelidae	NA	Stirtonia	indet.	Stirtonia	NA	NA	NA	Stirtonia	3	2	4.5	12.5	8	0.367855776	0.28876678416	0.606511150763117	3.3	-9.1375	-72.6951	-75.1	3	0.0762066171
84937	Primates	Cebidae	NA	Acrecebus	fraileyi	Acrecebus	NA	NA	NA	Acrecebus	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84938	Rodentia	Caviidae	Hydrochoerinae	Cardiatherium	indet.	Cardiatherium	NA	NA	NA	Cardiatherium	2	2	4.73	8	3.27	0.6195294504	0.486330618564	0.787101931391354	11.298028	-9.1375	-70.23536	-72.6951	2.365	0.3058959312
84939	Rodentia	Dinomyidae	NA	Eumegamys	paranensis	Eumegamys	NA	NA	NA	Eumegamys	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84940	Rodentia	Dinomyidae	NA	Gyriabrus	indet.	Gyriabrus	NA	NA	NA	Gyriabrus	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84941	Rodentia	Dinomyidae	Potamarchinae	Potamarchus	murinus	Potamarchus	NA	NA	NA	Potamarchus	3	2	4.8	12.8	8	0.0127300572	0.009993094902	0.112827555145009	-9.1375	-10.4	-72.6951	-73.5167	1.6	0.0143083773
84943	Rodentia	Dinomyidae	NA	Simplimus	indet.	Simplimus	NA	NA	NA	Simplimus	2	2	6.75	14.75	8	0.6382376568	0.501016560588	0.798897776189169	-9.1375	-44.6166666666667	-71.2333333333333	-72.6951	3.375	0.2792123415
84944	Rodentia	Dinomyidae	NA	Telicomys	amazonensis	Telicomys	NA	NA	NA	Telicomys	3	2	4.1	8	3.9	5.5608110559	4.3652366788815	2.35813720039781	-9.1375	-38.9669444444445	-57.57	-72.6951	2.45	4.945723326
84945	Rodentia	Neoepiblemidae	NA	Neoepiblema	ambrosettianus	Neoepiblema	NA	NA	NA	Neoepiblema	4	3	9.53	12.8	3.27	0.876959496	0.68841320436	0.936461155627931	11.298028	-10.4	-70.23536	-73.5167	4.765	0.3403528398
84947	Rodentia	Neoepiblemidae	NA	Phoberomys	bordasi	Phoberomys	NA	NA	NA	Phoberomys	3	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
84950	Chiroptera	Noctilionidae	NA	Noctilio	lacrimaelunaris	Noctilio	NA	NA	NA	Noctilio	2	2	4.5	12.5	8	0.367855776	0.28876678416	0.606511150763117	3.3	-9.1375	-72.6951	-75.1	2.25	0.0762066171
84951	Litopterna	Macraucheniidae	NA	Cullinia	indet.	Cullinia	NA	NA	NA	Cullinia	2	2	1.25	9.25	8	3.5159415057	2.7600140819745	1.87508439962045	-9.1375	-38.64562	-63.0259	-72.6951	0.625	2.941490898
84952	Notoungulata	Toxodontidae	NA	Gyrinodon	quassus	Gyrinodon	NA	NA	NA	Gyrinodon	1	1	0	8	8	0	0	0	-9.1375	-9.1375	-72.6951	-72.6951	0	0
